id	category_code	category_name	brand_name	bar_code	name	unit	packing_unit	packing_specification	suggested_retail_price	supply_price	cost_price	supplier_name	valid_period	portrait	unit_specification
3363	0807	饼干	莫丽卡	6957654686873	莫丽卡	盒	箱	8	25	0	0		300		720g/盒
3364	0808	面包糕点	莫丽卡	6957654688860	莫丽卡	箱	箱	1	25	0	0		60		500g/箱
3365	0815	饮料冲调	道吉草	4804888618960	道吉草	瓶	箱	24	15	0	0		270		240ml/瓶
3366	0815	饮料冲调	道吉草	4804888618977	道吉草	瓶	箱	24	15	0	0		270		240ml/瓶
3367	0815	饮料冲调	道吉草	4804888618953	道吉草	瓶	箱	24	15	0	0		270		240ml/瓶
3368	0804	香脆食品	道吉草	4804888899239	道吉草	袋	箱	12	28	0	0		360		65g*6/袋
3369	0804	香脆食品	道吉草	4804888615754	道吉草	袋	箱	12	28	0	0		360		65g*6/袋
3370	0804	香脆食品	道吉草	4804888615747	道吉草	袋	箱	12	28	0	0		360		65g*6/袋
3371	0808	面包糕点	道吉草	4807770120732	道吉草	袋	箱	60	7	0	0		360		25g/袋
3372	0807	饼干	道吉草	4807770101694	道吉草	袋	箱	60	7	0	0		360		90g/袋
3373	0815	饮料冲调	美提奥	8801746410526	美提奥	袋	箱	60	14	0	0		720		40g/袋
3374	0815	饮料冲调	美提奥	8801746410717	美提奥	袋	箱	60	14	0	0		720		40g/袋
3375	0808	面包糕点	友谊	8934760211708	友谊	袋	箱	40	13	0	0		360		135g/袋
3376	0801	坚果炒货	口水娃	0000020142117	口水娃	kg	箱	4	44	0	0		240		
3377	0804	香脆食品	杭阿哥	6934731000005	杭阿哥	罐	箱	15	12	0	0		180		280g/罐
3378	0807	饼干	AJI	4713507007057	AJI	袋	箱	12	10	0	0		360		200g/袋
3379	0808	面包糕点	竹叶堂	4714221134296	竹叶堂	盒	箱	20	13	0	0		300		180g/盒
3380	0808	面包糕点	宏亚	4710098168600	宏亚	盒	箱	20	15	0	0		360		96g/盒
3381	0804	香脆食品	张君雅	4710199086506	张君雅	袋	箱	15	9	0	0		360		40g/袋
3382	0808	面包糕点	亲亲	4713282776856	亲亲	袋	箱	12	24	0	0		360		250g/袋
3383	0808	面包糕点	宏亚	4710098168617	宏亚	盒	盒	20	15	0	0		360		74g/盒
3384	0810	糖果巧克力	品绮	471231810987	品绮	瓶	瓶	96	18	0	0		360		115g/瓶
3385	0810	糖果巧克力	品绮	4712318109769	品绮	瓶	瓶	96	18	0	0		360		90g/瓶
3386	0810	糖果巧克力	品绮	4712318102111	品绮	瓶	瓶	96	18	0	0		360		115g/瓶
3387	0810	糖果巧克力	品绮	4712318109684	品绮	瓶	瓶	96	18	0	0		360		130g/瓶
3388	0810	糖果巧克力	品绮	4712318109691	品绮	瓶	瓶	96	18	0	0		540		65g/瓶
3389	0810	糖果巧克力	品绮	4712318109714	品绮	瓶	瓶	96	18	0	0		360		100g/瓶
3390	0810	糖果巧克力	品绮	4712318109721	品绮	瓶	瓶	96	18	0	0		360		105g/瓶
3391	0807	饼干	日香	4710953081655	日香	包	包	42	10	0	0		360		90g/包
3392	0807	饼干	日香	4710953081686	日香	包	包	42	10	0	0		360		90g/包
3393	0807	饼干	日香	4710953081792	日香	包	包	42	10	0	0		360		90g/包
3394	0805	水产零食	味一	4711452000888	味一	罐	箱	24	35	0	0		360		200g/罐
3395	0805	水产零食	味一	4711452001519	味一	罐	箱	24	35	0	0		360		200g/罐
3396	0805	水产零食	味一	4711452000024	味一	罐	箱	24	38	0	0		360		200g/罐
3397	0805	水产零食	味一	4711452003025	味一	罐	箱	24	38	0	0		360		200g/罐
3398	0805	水产零食	味一	4711452003018	味一	罐	箱	24	38	0	0		360		200g/罐
3399	0805	水产零食	味一	4711452001106	味一	罐	箱	12	68	0	0		360		300g/罐
3400	0805	水产零食	味一	4711452001144	味一	罐	箱	12	68	0	0		360		300g/罐
3401	0805	水产零食	味一	4711452003223	味一	罐	箱	12	68	0	0		360		300g/罐
3402	0805	水产零食	味一	4711452003230	味一	罐	箱	12	68	0	0		360		300g/罐
3403	0805	水产零食	味一	4711452001113	味一	罐	箱	12	68	0	0		360		300g/罐
3404	0815	饮料冲调	阳明山	4713327124095	阳明山	罐	箱	12	65	0	0		720		400g/罐
3405	0815	饮料冲调	阳明山	4713327124088	阳明山	罐	箱	12	65	0	0		720		400g/罐
3406	0815	饮料冲调	阳明山	4713327324372	阳明山	罐	箱	12	65	0	0		720		400g/罐
3407	0815	饮料冲调	阳明山	4713327183993	阳明山	罐	箱	24	35	0	0		720		250g/罐
3408	0815	饮料冲调	阳明山	4713327246445	阳明山	罐	箱	24	35	0	0		720		250g/罐
3409	0815	饮料冲调	吉津	4710587180304	吉津	罐	箱	24	5	0	0		360		320ml/罐
3410	0815	饮料冲调	吉津	4710587180472	吉津	罐	箱	24	5	0	0		360		320ml/罐
3411	0815	饮料冲调	吉津	4710587180359	吉津	罐	箱	24	5	0	0		360		320ml/罐
3412	0815	饮料冲调	吉津	4710587180465	吉津	罐	箱	24	5	0	0		360		320ml/罐
3413	0815	饮料冲调	吉津	4710587180366	吉津	罐	箱	24	5	0	0		360		320ml/罐
3414	0815	饮料冲调	吉津	4892214254982	吉津	罐	箱	24	5	0	0		360		320ml/罐
3415	0815	饮料冲调	吉津	4713236101095	吉津	罐	箱	24	5	0	0		360		320ml/罐
3416	0815	饮料冲调	吉津	4710587180373	吉津	罐	箱	24	5	0	0		360		320ml/罐
3417	0815	饮料冲调	吉津	4710587180441	吉津	罐	箱	24	5	0	0		360		320ml/罐
3418	0815	饮料冲调	吉津	4710587180540	吉津	罐	箱	24	5	0	0		360		320ml/罐
3419	0815	饮料冲调	吉津	4710587181493	吉津	罐	箱	24	5	0	0		360		320ml/罐
3420	0815	饮料冲调	吉津	4713236960715	吉津	罐	箱	24	5	0	0		360		320ml/罐
3421	0815	饮料冲调	吉津	4892214255347	吉津	罐	箱	24	5	0	0		360		320ml/罐
3422	0815	饮料冲调	吉津	4713236991160	吉津	罐	箱	24	5	0	0		360		320ml/罐
3423	0804	香脆食品	张君雅	4710199086506	张君雅	袋	袋	15	9	0	0		360		45g/袋
3424	0804	香脆食品	张君雅	4710199086704	张君雅	袋	箱	30	4	0	0		360		40g/袋
3425	0804	香脆食品	张君雅	4710199109977	张君雅	袋	箱	15	9	0	0		360		65g/袋
3426	0808	面包糕点	友谊	8934760211005	友谊	袋	箱	10	19	0	0		360		300g/袋
3427	0808	面包糕点	北田	4711162821322	北田	袋	箱	12	14	0	0		360		180g/袋
3428	0808	面包糕点	北田	4711162821797	北田	袋	箱	12	14	0	0		360		180g/袋
3429	0808	面包糕点	北田	4711162821803	北田	袋	箱	12	14	0	0		360		180g/袋
3430	0808	面包糕点	北田	4711162821537	北田	kg	箱	12	14	0	0		360		160g/kg
3431	0808	面包糕点	北田	4711162821575	北田	kg	箱	6	14	0	0		360		160g/kg
3432	0808	面包糕点	北田	4711162823609	北田	袋	箱	12	14	0	0		360		160g/袋
3433	0808	面包糕点	北田	4711162821896	北田	袋	箱	12	14	0	0		360		180g/袋
3434	0804	香脆食品	卡乐米斯	4716361941024	卡乐米斯	包	箱	20	6	0	0		270		45g/包
3435	0804	香脆食品	卡乐米斯	4716361941031	卡乐米斯	包	箱	20	6	0	0		270		45g/包
3436	0804	香脆食品	卡乐米斯	4716361941017	卡乐米斯	包	箱	20	6	0	0		270		45g/包
3437	0807	饼干	欧米丽	8993083933971	欧米丽	盒	箱	24	9	0	0		360		80g/盒
3438	0810	糖果巧克力	台味	4711161799158	台味	盒	箱	12	33	0	0		360		340g/盒
3439	0807	饼干	星球杯	6933620900051	星球杯	罐	箱	12	19	0	0		360		390g/罐
3440	0807	饼干	芭米	6928362100395	芭米	盒	箱	24	13	0	0		180		148g/盒
3441	0807	饼干	芭米	6928362100401	芭米	盒	箱	24	13	0	0		180		148g/盒
3442	0807	饼干	芭米	6928362100388	芭米	盒	箱	24	13	0	0		180		148g/盒
3443	0810	糖果巧克力	鸿英	6924787603688	鸿英	袋	箱	30	4	0	0		360		100g/袋
3444	0810	糖果巧克力	鸿英	6924787602643	鸿英	袋	箱	30	4	0	0		360		100g/袋
3445	0810	糖果巧克力	鸿英	6924787603695	鸿英	袋	箱	30	4	0	0		360		100g/袋
3446	0810	糖果巧克力	俏皮屋	6942841301226	俏皮屋	罐	箱	16	14	0	0		360		180g/罐
3447	0804	香脆食品	杭阿哥	6934731000043	杭阿哥	罐	箱	20	7	0	0		180		150g/罐
3448	0804	香脆食品	杭阿哥	6934731000067	杭阿哥	罐	箱	20	7	0	0		180		150g/罐
3449	0804	香脆食品	杭阿哥	6934731000029	杭阿哥	罐	箱	15	12	0	0		180		280g/罐
3450	0808	面包糕点	富美多	695929800888	富美多	瓶	箱	24	8	0	0		360		90g/瓶
3451	0808	面包糕点	富美多	6959629800895	富美多	瓶	箱	24	8	0	0		360		90g/瓶
3452	0808	面包糕点	富美多	6959629800970	富美多	瓶	箱	24	8	0	0		360		90g/瓶
3453	0807	饼干	AJI	4713507007118	AJI	袋	箱	12	10	0	0		360		200g/袋
3454	0807	饼干	AJI	4713507006067	AJI	袋	箱	12	10	0	0		360		200g/袋
3455	0807	饼干	AJI	4713507006050	AJI	袋	箱	12	10	0	0		360		200g/袋
3456	0804	香脆食品	公仔	6900082020191	公仔	碗	箱	18	4	0	0		180		41g/碗
3457	0804	香脆食品	公仔	6900082020184	公仔	碗	箱	18	4	0	0		180		34g/碗
3458	0804	香脆食品	公仔	6900082020450	公仔	碗	箱	18	4	0	0		180		40g/碗
3459	0804	香脆食品	公仔	6900082020061	公仔	碗	箱	12	6	0	0		270		75g/碗
3460	0804	香脆食品	公仔	6900082020245	公仔	碗	箱	12	6	0	0		270		79g/碗
3461	0804	香脆食品	公仔	6900082020023	公仔	碗	箱	12	6	0	0		270		83g/碗
3462	0804	香脆食品	公仔	6900082020252	公仔	碗	箱	12	6	0	0		270		82g/碗
3463	0808	面包糕点	钜香	6949852504011	钜香	盒	箱	24	18	0	0		360		245g/盒
3464	0808	面包糕点	钜香	6949852504028	钜香	盒	箱	24	18	0	0		360		245g/盒
